point,pgrass_250,ed_250,pgrass_3000,ed_3000
2SI4-01,0.885234154678534,0.008925573683909532,0.05735694505849626,0.007893766342521431
2SI4-02,0.7851866139151665,0.004010343017699797,0.05735694505849503,0.007893766342521431
2SI4-03,0.8685825313681039,0.0049831187882527625,0.05735694505849559,0.007893766342521431
2SI4-04,0.5815292001180683,0.008869819576373362,0.05735694505849543,0.007893766342521431
2SI2-01,0.4870856961183852,0.01682590145232214,0.008169505781384296,0.019432617873394502
2SI2-02,0.5497828430260295,0.01099769885383253,0.008169505781384404,0.019432617873394502
2SI2-03,0.6082303976426884,0.012830997259028925,0.008169505781384508,0.019432617873394502
2SI2-04,0.4393083522775359,0.017560326403070908,0.00816950578138436,0.019432617873394502
2SI2-05,0.5828293915103987,0.009652315666847908,0.008169505781384383,0.019432617873394502
5SI3-01,0.40860592504856724,0.013564751421636151,0.008080952035314075,0.01883299267590115
5SI3-02,0.4236061202044827,0.017429393031276975,0.00808095203531414,0.01883299267590115
5SI3-03,0.3571421458041135,0.02363384022018438,0.008080952035314167,0.01883299267590115
5SI3-04,0.3329668972744347,0.02435665650241359,0.008080952035314117,0.01883299267590115
5SI3-05,0.5403655195558766,0.016062826534287405,0.008080952035314249,0.01883299267590115
5SI3-06,0.652701750364468,0.01315118785068949,0.008080952035314148,0.01883299267590115
5SI3-07,0.4137857040368506,0.010992675919251757,0.00808095203531413,0.01883299267590115
2SI3-01,0.6576125758395028,0.0060907555490724375,0.011304959096524783,0.00757123776677577
2SI3-02,0.6345510100767952,0.003931737774284698,0.011304959096524828,0.00757123776677577
2SI3-03,0.6160734122061666,0.004104661169467503,0.011304959096525166,0.00757123776677577
2SI3-04,0.5641206727960701,0.007447325746454192,0.011304959096524823,0.00757123776677577
2SI3-05,0.5765075505364955,0.005870316321145003,0.011304959096524883,0.00757123776677577
2SI3-06,0.8082742114372821,0.0027137518347639653,0.011304959096524968,0.00757123776677577
1LI1-01,0.9999999999999691,0,0.16883882245948895,0.00711819337856107
1LI1-02,0.9522130623389298,0.001995167870158948,0.17110803760504711,0.007230052590728193
1LI1-03,0.932350055445221,0.0020211363182057428,0.17608161228329808,0.0075779246596944985
1LI1-04,0.9999999999999917,0,0.179747046314529,0.007985619107203008
1LI1-05,1.0000000000000582,0,0.17571894846599942,0.007555229135416259
1LI1-06,0.9994267886265499,3.538087177859429e-4,0.174719970023623,0.007467010016358039
1LI1-07,1.0000000000000082,0,0.17914025317134538,0.007900051711071604
1LI1-08,0.9984747192236382,4.896702081852236e-4,0.1826483533530576,0.00805121752860216
1LI1-09,1,0,0.18940081817540283,0.008205903880246746
1LI1-10,0.9842559335013041,0.0012912916854120517,0.191047021166979,0.008298301028016822
1LI1-11,0.8681314554662338,0.00229094179170759,0.18899713010746552,0.008209764319922451
1LI1-12,0.9999999999998208,0,0.1878893865203093,0.008215186879705773
1LI1-13,0.9999999999998208,0,0.18380813739297844,0.008088512761228052
1LI1-14,0.8880616338424987,0.002149248091946328,0.18538758187394322,0.008156963220246793
1LI1-15,0.8414544302587221,0.0024818399567214603,0.15681524204994923,0.007039872285926613
1LI1-24,1.0000000000000557,0,0.1851559019885442,0.008135655390707677
3SI3-04,0.6453529976697889,0.01629803285852692,0.03858509339513751,0.016064548756743183
3SI3-05,0.6195180392302372,0.012750151729945475,0.03858509339513722,0.016064548756743183
3SI3-06,0.6299351777388158,0.00912801732974812,0.03858509339513846,0.016064548756743183
3SI3-07,0.6752296306369692,0.009040721621782936,0.03858509339513791,0.016064548756743183
3LE1-01,0.9991739929656954,1.8988677515404225e-4,0.19001313016572438,0.013252484394926562
3LE1-03,0.8773059212159389,0.0030443222993999804,0.2025634011887022,0.013347009235257048
3LE1-04,0.9146748868130329,0.005076577932087734,0.21780928500776087,0.013184770497312454
3LE1-05,1.000000000000045,0,0.2103250119850886,0.013189052907254488
3LE1-06,1.0000000000001472,0,0.20628386432758797,0.013101777805827301
3LE1-07,0.999999999999943,0,0.19965280628071042,0.013304797231602456
3LE1-08,0.9756778959450727,0.002131686522636012,0.19565626009279666,0.013214226720099465
3LE1-09,0.9999999999999241,0,0.22642279244165528,0.012921289477478027
3LE1-14,0.9264357918357602,0.005905132205846646,0.30392541596025996,0.011564098849740039
3LE1-19,0.9971784910413111,3.3825180575452796e-4,0.23256080179538074,0.01294627740705074
3LE1-20,0.8053652495932027,0.005710097370897523,0.23487249532126475,0.013051481298188547
